Date,MSCI World
1989-02,66917.44002020075
1989-03,66917.03851528569
1989-04,68825.34672955025
1989-05,70004.83492356459
1989-06,70445.63352546077
1989-07,74970.4207865175
1989-08,74270.95275118499
1989-09,77521.37812350164
1989-10,72097.89512547171
1989-11,73885.3454107418
1989-12,73105.46300158801
1990-01,67633.18425111714
1990-02,63859.5785151099
1990-03,61036.85056307657
1990-04,59369.44607056526
1990-05,64532.839630378774
1990-06,64488.22911444809
1990-07,63093.46313607065
1990-08,54653.87627339092
1990-09,48953.84082920841
1990-10,51937.2877574192
1990-11,50056.308445569186
1990-12,51690.661555202656
1991-01,53696.03839975514
1991-02,57673.206652070745
1991-03,60905.15711383389
1991-04,64633.60909897523
1991-05,66962.4109913219
1991-06,65151.126504692795
1991-07,68295.93781870553
1991-08,66560.46510562068
1991-09,66401.3431823617
1991-10,67368.85198393356
1991-11,62003.58083032291
1991-12,64385.65318801702
1992-01,63619.82764051358
1992-02,63883.08438209057
1992-03,62480.97344079284
1992-04,62760.410692048805
1992-05,63989.90289721302
1992-06,60057.13906322283
1992-07,57327.541184017624
1992-08,57222.521052475684
1992-09,57988.96907079799
1992-10,58745.71348590757
1992-11,63694.45082345413
1992-12,64147.674907806024
1993-01,65599.61932989054
1993-02,68806.64596649997
1993-03,73133.88249791604
1993-04,73900.18254079277
1993-05,75770.08643780077
1993-06,77307.02050765016
1993-07,82225.0945110299
1993-08,86630.80170810358
1993-09,81629.71661846779
1993-10,84843.95986388587
1993-11,82173.80111756884
1993-12,86136.48090141875
1994-01,93042.30076492437
1994-02,91464.5108432438
1994-03,85691.7686082059
1994-04,88576.7385285946
1994-05,86876.3617709675
1994-06,85208.77017769284
1994-07,84133.74721971164
1994-08,86747.8287619667
1994-09,83544.41871571058
1994-10,84259.97079491657
1994-11,81785.1990511987
1994-12,84246.46810984582
1995-01,81266.12337183832
1995-02,81528.84341969769
1995-03,82118.7708814733
1995-04,83336.13589165211
1995-05,85328.47281298498
1995-06,84571.50239243411
1995-07,87752.24032544371
1995-08,88375.50408205789
1995-09,92097.03443530513
1995-10,89217.37093241034
1995-11,92495.14614665232
1995-12,96687.24930833215
1996-01,99611.20517696098
1996-02,100773.132381904
1996-03,102363.81708397645
1996-04,105642.96432969705
1996-05,106995.48450504799
1996-06,106681.28624976898
1996-07,101326.26425399986
1996-08,101540.89491783835
1996-09,106409.88365052523
1996-10,107464.91084963172
1996-11,112009.60295487124
1996-12,112633.65152876382
1997-01,117069.82555107115
1997-02,123552.63828839757
1997-03,122491.17455064926
1997-04,127159.80947713036
1997-05,134572.05451778104
1997-06,142847.83689100642
1997-07,153560.5123052454
1997-08,147350.23775778493
1997-09,151256.6138390343
1997-10,140670.86794401563
1997-11,140190.5015893399
1997-12,145703.51622969736
1998-01,153183.99090702526
1998-02,163160.93670644032
1998-03,170652.24659611567
1998-04,171127.45656904115
1998-05,166383.9192603877
1998-06,171544.17313623577
1998-07,171648.62106685134
1998-08,148126.53873703408
1998-09,143689.37233193914
1998-10,150867.18500687953
1998-11,164439.9040039111
1998-12,171348.44221891378
1999-01,180796.55679470647
1999-02,181806.6064864919
1999-03,194214.83370828498
1999-04,204605.64254084107
1999-05,199759.49364811045
1999-06,211639.39614297912
1999-07,203755.3449302743
1999-08,205692.81389361137
1999-09,201913.42143311736
1999-10,216688.52871432208
1999-11,230610.35476050669
1999-12,250512.99418231126
2000-01,242288.2800773727
2000-02,244838.15944074243
2000-03,266141.69568614085
2000-04,267986.7222498553
2000-05,255050.10827660756
2000-06,256627.43990774656
2000-07,257817.0081875022
2000-08,276243.3113592198
2000-09,265729.3168800189
2000-10,272045.5854659542
2000-11,247639.25543011984
2000-12,234819.99849870172
2001-01,239650.89705787727
2001-02,220438.45204394546
2001-03,215621.61521839644
2001-04,230368.32081145386
2001-05,237984.00999649244
2001-06,230494.19397394796
2001-07,220270.13823347213
2001-08,200438.54740649572
2001-09,183290.37078367945
2001-10,188628.8805784944
2001-11,202992.3216175121
2001-12,206217.79621333536
2002-01,204023.7910288262
2002-02,201902.08766946686
2002-03,209031.99110487197
2002-04,195560.78373383282
2002-05,187977.92151641383
2002-06,166133.49618426026
2002-07,155100.92639628492
2002-08,154575.76544394187
2002-09,137180.24601685806
2002-10,147228.5159221501
2002-11,154159.50777591695
2002-12,138837.42258378377
2003-01,130512.02798075438
2003-02,128632.22827951952
2003-03,126877.89942167643
2003-04,135193.15131186057
2003-05,134538.24963147243
2003-06,141580.25720835966
2003-07,145829.8071008977
2003-08,154292.8704787041
2003-09,145563.41564566983
2003-10,154584.9047950395
2003-11,152054.36205555347
2003-12,153445.46800453623
2004-01,159004.63811456438
2004-02,161224.57529357894
2004-03,162696.47419695088
2004-04,163059.18826933578
2004-05,161158.95909201252
2004-06,165049.18716034506
2004-07,161198.73073141734
2004-08,160944.69461268224
2004-09,160051.19636439072
2004-10,159745.26147159206
2004-11,161080.06216990584
2004-12,163226.59221661455
2005-01,166724.43460941807
2005-02,169125.54604054993
2005-03,169590.7912398462
2005-04,165985.15817405828
2005-05,177510.46337936883
2005-06,182585.29855443374
2005-07,188947.67694748845
2005-08,188732.71971307648
2005-09,196143.27275536233
2005-10,191687.066451716
2005-11,202348.84286781892
2005-12,206340.89233732974
2006-01,209844.7516178599
2006-02,213820.04232276426
2006-03,214387.43005597586
2006-04,213267.13908941075
2006-05,200683.72658873344
2006-06,203070.95526149153
2006-07,203474.00851319218
2006-08,207391.08851789075
2006-09,213030.14670468692
2006-10,220222.71159759248
2006-11,217001.14334248385
2006-12,221917.35707023778
2007-01,228281.1595796261
2007-02,222675.51970863878
2007-03,224929.89195155498
2007-04,229897.89489519337
2007-05,239007.35457794403
2007-06,236250.6324641869
2007-07,227614.04809791697
2007-08,227474.54202017738
2007-09,230326.17038390646
2007-10,232986.9206479326
2007-11,218709.7902575639
2007-12,216474.79888789819
2008-01,197928.522288562
2008-02,192929.54215943883
2008-03,183285.78465006943
2008-04,196295.64061503732
2008-05,199700.09975277126
2008-06,180788.14015367982
2008-07,178099.26392086272
2008-08,186036.46362244146
2008-09,168860.6874779441
2008-10,153428.49461673643
2008-11,143835.52119359814
2008-12,135756.74134553608
2009-01,134504.58639078785
2009-02,122379.23275141061
2009-03,125041.15590260185
2009-04,139413.89690350948
2009-05,143169.6467256547
2009-06,142160.73322388367
2009-07,154157.68848690137
2009-08,159010.34673271034
2009-09,161158.92398061132
2009-10,156612.55217144376
2009-11,160592.44059568894
2009-12,170477.80059489416
2010-01,168580.70975258332
2010-02,175946.02834225824
2010-03,188103.8675760578
2010-04,190447.44751449462
2010-05,186309.2059319428
2010-06,180449.209517727
2010-07,183743.59898204062
2010-08,181738.04445474027
2010-09,184592.4370936894
2010-10,188585.3067414826
2010-11,196707.82303860164
2010-12,205418.23596693212
2011-01,204996.22919058462
2011-02,209995.8648289401
2011-03,202465.93818640747
2011-04,201792.1725267382
2011-05,204130.98042676295
2011-06,199956.46206858254
2011-07,198988.01814440382
2011-08,182535.78883432344
2011-09,178466.08010134273
2011-10,189921.604537392
2011-11,193334.99702988504
2011-12,200380.83425008014
2012-01,206651.39559076686
2012-02,212441.11352361256
2012-03,216573.9656298778
2012-04,216415.4799241033
2012-05,210662.9377993188
2012-06,218108.91748474474
2012-07,226415.8451453313
2012-08,226136.1378488754
2012-09,226616.5383712506
2012-10,223993.7774108795
2012-11,226984.28095770988
2012-12,227607.36330765035
2013-01,232917.00015213856
2013-02,240782.74164303517
2013-03,252657.82531872016
2013-04,255291.1007665033
2013-05,256683.50795584416
2013-06,248942.30855304707
2013-07,258198.79338420441
2013-08,253466.796924856
2013-09,260822.4428473896
2013-10,268329.77131514327
2013-11,273700.34603190416
2013-12,275843.8285916278
2014-01,271031.5379847727
2014-02,278480.3452700548
2014-03,279389.03428945533
2014-04,280988.38612698956
2014-05,291633.55147304013
2014-06,295742.1402166764
2014-07,297091.1886236088
2014-08,308035.1752794275
2014-09,314083.3655218422
2014-10,317604.3742209276
2014-11,325033.47795628244
2014-12,328800.51832220104
2015-01,346716.8438486681
2015-02,369153.0207180961
2015-03,379619.79077753314
2015-04,372725.55846324
2015-05,382362.51981621265
2015-06,366161.8219623446
2015-07,380279.52341622126
2015-08,347261.9628898927
2015-09,334811.61987012916
2015-10,367444.0919357211
2015-11,380753.3028311568
2015-12,363478.2643024697
2016-01,340700.71174003126
2016-02,339158.94570260134
2016-03,346363.5859666254
2016-04,351288.92036680126
2016-05,361148.07866792823
2016-06,358773.9176487272
2016-07,373561.4143701499
2016-08,373233.7553825198
2016-09,374241.42262952926
2016-10,374207.28087554907
2016-11,390688.36822607514
2016-12,403604.24512705766
2017-01,405120.6495537613
2017-02,422568.0058265258
2017-03,423314.19588194246
2017-04,420188.69421122666
2017-05,417950.07852489385
2017-06,412536.0864162126
2017-07,411062.7127959523
2017-08,408230.04971971683
2017-09,418064.20015282405
2017-10,432113.9841518363
2017-11,433615.27511633723
2017-12,434202.4777412793
2018-01,440101.2178965249
2018-02,430262.1464833315
2018-03,417228.8644593668
2018-04,430478.4048628936
2018-05,447246.1646248766
2018-06,448604.95825159445
2018-07,459541.8254727306
2018-08,468621.7621348341
2018-09,474284.180484492
2018-10,449476.23442627396
2018-11,452941.4068593441
2018-12,415174.55792518426
2019-01,445997.4201774572
2019-02,462305.9594939658
2019-03,475923.8434171276
2019-04,493546.57369094866
2019-05,467862.8165261699
2019-06,488657.37123599893
2019-07,501162.7662374294
2019-08,496027.2187867925
2019-09,513422.0061230561
2019-10,513978.8229862183
2019-11,536567.3940731816
2019-12,540245.1776247153
2020-01,545799.2645173206
2020-02,503079.3821788027
2020-03,437337.16734981013
2020-04,488682.04136553156
2020-05,500328.6294323941
2020-06,510719.3856089005
2020-07,505793.5817970517
2020-08,535430.1946260751
2020-09,527202.1107953145
2020-10,511467.02193003474
2020-11,563285.0712466314
2020-12,573242.1670965339
2021-01,573858.2691392895
2021-02,589291.3543261647
2021-03,629463.2180545023
2021-04,639293.4715252456
2021-05,642177.7502744969
2021-06,669134.3749599874
2021-07,680719.548343914
2021-08,701021.9054239772
2021-09,686712.4158920497
2021-10,721495.6823644936
2021-11,723198.844838573
2021-12,756571.9801449956
2022-01,727460.0848749744
2022-02,706339.1613572572
2022-03,732130.2464883362
2022-04,707040.6844588212
2022-05,696149.8277558046
2022-06,655804.2932234461
2022-07,720991.7586758115
2022-08,704527.4437804917
2022-09,655554.6788803298
2022-10,690867.0682405854
2022-11,706003.0916860258
2022-12,657640.5600279866
2023-01,693317.2073211351
2023-02,690287.1415167826
2023-03,694865.1891246431
2023-04,700220.6730653651
2023-05,712567.5961556862
2023-06,742935.598895187
2023-07,756955.8338300635
2023-08,749413.2711877194
2023-09,735631.2369086111
2023-10,712604.6794219364
2023-11,757166.3427930666
